date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,98864.8,5118.8,93746.0,3800
2025-07-17,100194.8,5118.8,95076.0,3800
2025-07-18,99548.8,5118.8,94430.0,3800
2025-07-21,99054.8,5118.8,93936.0,3800
2025-07-22,98560.8,5118.8,93442.0,3800
2025-07-23,98028.8,5118.8,92910.0,3800
2025-07-24,99662.8,5118.8,94544.0,3800
2025-07-25,100270.8,5118.8,95152.0,3800
2025-07-28,99510.8,5118.8,94392.0,3800
2025-07-29,100498.8,5118.8,95380.0,3800
2025-07-30,99168.8,5118.8,94050.0,3800
2025-07-31,99092.8,5118.8,93974.0,3800
2025-08-01,98218.8,5118.8,93100.0,3800
2025-08-04,98370.8,5118.8,93252.0,3800
2025-08-05,98256.8,5118.8,93138.0,3800
2025-08-06,99738.8,5118.8,94620.0,3800
2025-08-07,99168.8,5118.8,94050.0,3800
2025-08-08,97496.8,5118.8,92378.0,3800
2025-08-11,99358.8,5118.8,94240.0,3800
2025-08-12,100042.8,5118.8,94924.0,3800
2025-08-13,101372.8,5118.8,96254.0,3800
2025-08-14,100574.8,5118.8,95456.0,3800
2025-08-15,101638.8,5118.8,96520.0,3800
2025-08-18,105666.8,5118.8,100548.0,3800
2025-08-19,104678.8,5118.8,99560.0,3800
2025-08-20,110416.8,5118.8,105298.0,3800
2025-08-21,108668.8,5118.8,103550.0,3800
2025-08-22,113418.8,5118.8,108300.0,3800
2025-08-25,113874.8,5118.8,108756.0,3800
2025-08-26,112468.8,5118.8,107350.0,3800
2025-08-27,109504.8,5118.8,104386.0,3800
2025-08-28,113000.8,5118.8,107882.0,3800
2025-08-29,111138.8,5118.8,106020.0,3800
2025-09-01,115660.8,5118.8,110542.0,3800
2025-09-02,109303.63,7886.63,101417.0,3700
2025-09-03,113928.63,7886.63,106042.0,3700
2025-09-04,110228.63,7886.63,102342.0,3700
2025-09-05,111967.63,7886.63,104081.0,3700
2025-09-08,110746.63,7886.63,102860.0,3700
2025-09-09,105381.63,7886.63,97495.0,3700
2025-09-10,105705.42,105705.42,0.0,0
2025-09-11,105705.42,105705.42,0.0,0
2025-09-12,108925.69,6445.69,102480.0,3500
2025-09-15,107105.69,6445.69,100660.0,3500
2025-09-16,110185.69,6445.69,103740.0,3500
2025-09-17,109380.69,6445.69,102935.0,3500
2025-09-18,114735.69,6445.69,108290.0,3500
2025-09-19,111970.69,6445.69,105525.0,3500
2025-09-22,113090.69,6445.69,106645.0,3500
2025-09-23,109485.69,6445.69,103040.0,3500
